package,version,license,classification,distribution_obligation,source
adler2,2.0.1,0BSD OR MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
ahash,0.7.8,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
aho-corasick,1.1.4,Unlicense OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
alloc-no-stdlib,2.0.4,BSD-3-Clause,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
alloc-stdlib,0.2.4,BSD-3-Clause,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
android_system_properties,0.1.5,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
ansi-str,0.9.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
ansitok,0.3.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anstream,1.0.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anstyle,1.0.14,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anstyle-parse,1.0.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anstyle-query,1.1.5,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anstyle-wincon,3.0.11,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
anyhow,1.0.102,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
arrayvec,0.7.6,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
atk,0.18.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
atk-sys,0.18.2,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
atomic-waker,1.1.2,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
autocfg,1.5.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
base64,0.21.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
base64,0.22.1,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
beankeeper,0.4.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,workspace/path
beankeeper-cli,0.8.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,workspace/path
bit-set,0.8.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
bit-vec,0.8.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
bitflags,1.3.2,MIT/Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
bitflags,2.11.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
bitvec,1.0.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
block-buffer,0.10.4,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
