package,version,source,license,cargo_checksum,classification
adler2,2.0.1,registry+https://github.com/rust-lang/crates.io-index,0BSD OR MIT OR Apache-2.0,320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa,PERMISSIVE_OR_NOTICE
ahash,0.7.8,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,891477e0c6a8957309ee5c45a6368af3ae14bb510732d2684ffa19af310920f9,PERMISSIVE_OR_NOTICE
aho-corasick,1.1.4,registry+https://github.com/rust-lang/crates.io-index,Unlicense OR MIT,ddd31a130427c27518df266943a5308ed92d4b226cc639f5a8f1002816174301,PERMISSIVE_OR_NOTICE
alloc-no-stdlib,2.0.4,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause,cc7bb162ec39d46ab1ca8c77bf72e890535becd1751bb45f64c597edb4c8c6b3,PERMISSIVE_OR_NOTICE
alloc-stdlib,0.2.4,registry+https://github.com/rust-lang/crates.io-index,BSD-3-Clause,0e76a019e91224d279006ff972f1e984179a6e9feb050adba6ce8274aef23195,PERMISSIVE_OR_NOTICE
android_system_properties,0.1.5,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,819e7219dbd41043ac279b19830f2efc897156490d7fd6ea916720117ee66311,PERMISSIVE_OR_NOTICE
ansi-str,0.9.0,registry+https://github.com/rust-lang/crates.io-index,MIT,060de1453b69f46304b28274f382132f4e72c55637cf362920926a70d090890d,PERMISSIVE_OR_NOTICE
ansitok,0.3.0,registry+https://github.com/rust-lang/crates.io-index,MIT,c0a8acea8c2f1c60f0a92a8cd26bf96ca97db56f10bbcab238bbe0cceba659ee,PERMISSIVE_OR_NOTICE
anstream,1.0.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,824a212faf96e9acacdbd09febd34438f8f711fb84e09a8916013cd7815ca28d,PERMISSIVE_OR_NOTICE
anstyle,1.0.14,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,940b3a0ca603d1eade50a4846a2afffd5ef57a9feac2c0e2ec2e14f9ead76000,PERMISSIVE_OR_NOTICE
